name,profile_link,location,time_registered,last_seen,personal_text,gender,twitter,time_spent_online
joedrae,https://www.nairaland.com/joedrae,Lagos,"March 22, 2013",11:28pm On Feb 14,Sometimes one pays most for the things one gets for nothing,m,,26 days & 17 hours
kelly008,https://www.nairaland.com/kelly008,,"May 30, 2015",3:23pm On Sep 22,,f,,31 minutes & 33 seconds
skypeople,https://www.nairaland.com/skypeople,JUPITER,"May 30, 2015",5:51pm On Aug 06,personal text.......,f,@.................,1 day
scentmarlc,https://www.nairaland.com/scentmarlc,lagos,"December 22, 2013",11:28am On Jul 21,"Now that you've seen how ugly i am, please promise me you wont tell anyone......",m,@scentmarlc,1 month & 1 day
Ramos16,https://www.nairaland.com/ramos16,,"May 24, 2015",4:19am,drOOoo..l,m,,1 month & 18 days
pulcherima,https://www.nairaland.com/pulcherima,,"May 27, 2015",11:08am On Oct 26,,,,4 days & 2 hours
Satindersingh1,https://www.nairaland.com/satindersingh1,,"June 02, 2015",10:58am On Jun 05,,,,34 minutes & 8 seconds
beloxxi,https://www.nairaland.com/beloxxi,everywhere,"January 10, 2015",11:08am On Dec 19,https://infotanus.,m,www.twitter.com/infotanus,3 days & 2 hours
infinitycane,https://www.nairaland.com/infinitycane,,"February 16, 2012",9:36am On Jan 18,,,,1 day & 8 hours
teewhydope,https://www.nairaland.com/teewhydope,africa,"December 04, 2014",4:08pm,Anything is possible until your heart stops beating ,m,,5 months & 14 days
izutex007,https://www.nairaland.com/izutex007,Lagos,"October 15, 2014",11:10pm On May 11,am born to make manifest the Glory of God,m,izutex007@twitter.com,29 days & 12 hours
Jesuspolice,https://www.nairaland.com/jesuspolice,,"June 06, 2015",5:51pm On Nov 24,INFORMATION IS POWER,m,,4 hours & 8 minutes
tmann626,https://www.nairaland.com/tmann626,,"July 19, 2014",3:08pm,,m,,5 months & 13 days
JohnDoe2015,https://www.nairaland.com/johndoe2015,,"June 15, 2015",5:00pm On Jun 28,,,,1 day & 3 hours
clintwine,https://www.nairaland.com/clintwine,london,"April 02, 2006",3:20pm,,m,@clintwine,21 days & 23 hours
RedEagle,https://www.nairaland.com/redeagle,,"June 18, 2015",12:12pm On Jan 27,,,,1 day & 16 hours
kncokolo,https://www.nairaland.com/kncokolo,,"September 06, 2014",3:50pm On Feb 12,,,http://twitter.com/kcokolo,3 hours & 38 minutes
liricyst,https://www.nairaland.com/liricyst,Lagos Nigeria,"July 18, 2013",10:25pm On Feb 06,"Where there is a will,there's gotta be a way to get my name on it",m,@liricyst,16 days & 7 hours
oluwadotman,https://www.nairaland.com/oluwadotman,,"May 27, 2015",4:38am On Nov 26,,m,,20 hours & 59 minutes
opakay,https://www.nairaland.com/opakay,,"April 22, 2009",7:37am On Oct 26,,,,5 days & 8 hours
LORDDICE,https://www.nairaland.com/lorddice,Jos,"February 11, 2015",4:48am On Apr 13,"To that MOD dat always bans me, wetin i do u?  hmmm There is God o",m,@eric_bagins,9 days & 19 hours
ewizard1,https://www.nairaland.com/ewizard1,"Lagos, NG","July 11, 2009",7:41am On Jul 22,,,,3 months & 24 days
oyebolasdk,https://www.nairaland.com/oyebolasdk,,"March 16, 2015",8:51pm On Aug 17,,m,,1 day & 5 hours
Netlouis,https://www.nairaland.com/netlouis,,"July 07, 2015",12:50am On Jun 29,,,,1 day & 7 hours
ejihand1,https://www.nairaland.com/ejihand1,abakaliki ,"April 20, 2013",8:16pm On Feb 11,,m,,18 days
Olumyco,https://www.nairaland.com/olumyco,Lagos,"April 28, 2015",3:42pm,Programmer & Content Creator,m,@Olumyco,2 months & 12 days
ifeoluwasegun,https://www.nairaland.com/ifeoluwasegun,"Abeokuta, Nigeria","July 05, 2012",7:53pm On Jul 07,"Until you DISCOVER, you RECOVER!",m,jb_lifted,1 month & 1 day
creampassion,https://www.nairaland.com/creampassion,,"December 13, 2013",8:02pm On Jul 12,,,,12 days & 6 hours
IamWebwiz,https://www.nairaland.com/iamwebwiz,"Lagos, Nigeria","July 19, 2015",12:31am On Mar 04,,m,@iamwebwiz,12 hours & 21 minutes
katana,https://www.nairaland.com/katana,,"February 04, 2008",9:14am On Apr 22,,,,11 hours & 36 minutes
Ojim07,https://www.nairaland.com/ojim07,,"June 10, 2015",1:58pm On Apr 19,Bleep d earth,m,,26 days & 4 hours
olasheny1,https://www.nairaland.com/olasheny1,,"July 25, 2015",3:55am On Jul 26,,,,41 minutes & 35 seconds
Ennie03,https://www.nairaland.com/ennie03,,"August 01, 2015",9:21pm On Jul 19,,m,,2 hours & 17 minutes
israelBigFame,https://www.nairaland.com/israelbigfame,"London,Accra","March 14, 2013",10:28am On Sep 14,if you mention me you are looking for trouble and you will find it,m,,6 days & 2 hours
Dailiesroom,https://www.nairaland.com/dailiesroom,,"July 31, 2015",8:41am On Feb 21,,,,1 day & 4 hours
Zaks0n,https://www.nairaland.com/zaks0n,Kano,"May 30, 2015",6:43pm On Apr 07,,m,@zaksontech,12 hours & 49 minutes
kapersky,https://www.nairaland.com/kapersky,,"July 25, 2014",12:40pm On Feb 08,,m,@kaperskyguru,3 days
luthorcorp,https://www.nairaland.com/luthorcorp,,"April 24, 2015",6:17pm On Feb 13,,,,9 days & 1 hour
Habidab,https://www.nairaland.com/habidab,Nigeria,"November 20, 2011",5:03pm On Jun 25,"Life is no brief candle to me.It is a sort of splendid torch which I have got ahold for the moment,and I want to make it burn as brightly as possiblebefore handing it on to future generations.",,,24 days & 21 hours
Aloodunayo,https://www.nairaland.com/aloodunayo,,"September 05, 2011",1:22am On Jul 23,,,,3 days & 4 hours
Kingsonly,https://www.nairaland.com/kingsonly,,"December 09, 2010",5:33pm On Feb 04,,,,4 days & 17 hours
Omari88,https://www.nairaland.com/omari88,,"October 02, 2014",10:47am On Jul 06,,,,13 days
qidos121,https://www.nairaland.com/qidos121,,"August 17, 2015",6:24pm On Feb 25,,m,,4 days & 16 hours
desy24444,https://www.nairaland.com/desy24444,,"November 13, 2013",2:53pm On Dec 05,,m,,21 days & 3 hours
benetech,https://www.nairaland.com/benetech,,"August 17, 2015",10:05pm On Sep 24,,,,2 hours & 56 minutes
Jarchi,https://www.nairaland.com/jarchi,https://youtu.be/vIMObHxk_-0,"November 20, 2013",9:29pm On Jul 22,"Jarchi an afro sound singer, songwriter, producer and multi-instrumentalist born Adeyeye Joel, is fuelled by his passion for music having learnt basic chords on the piano and taking his guitar skills to the next stage started making beats on Fruity Loops ",m,oluwajarchi,2 months & 24 days
fromnigeria,https://www.nairaland.com/fromnigeria,South-South,"December 14, 2014",4:39pm On Feb 22,"There is only one purpose of Life, to serve, worship and reverend our maker! God, every other things comes next!",m,@KainebiO,1 month & 7 days
IamNat,https://www.nairaland.com/iamnat,,"September 05, 2015",7:52am,,,,1 month & 29 days
kinghacker,https://www.nairaland.com/kinghacker,,"September 06, 2015",3:13pm On Feb 05,Let me Hackfor you ,m,,3 hours & 34 minutes
mexzony,https://www.nairaland.com/mexzony,,"July 30, 2009",8:16pm On Apr 25,,,,2 months
chrisley024,https://www.nairaland.com/chrisley024,,"February 27, 2012",3:16pm,You always see what You want to see.,m,,8 months & 10 days
smobnology,https://www.nairaland.com/smobnology,Nigeria,"July 07, 2015",2:03pm On Feb 02,a computer engr by training nd a blogger. http://smobnology.com,m,,1 day & 10 hours
kennykendo,https://www.nairaland.com/kennykendo,Some place safe,"June 12, 2013",11:55pm On May 23,"think deep, act shallow ",m,@kennysaze,29 days & 19 hours
Sleekshady,https://www.nairaland.com/sleekshady,Nigeria,"October 16, 2011",3:37pm On Jul 24,,f,@sleekshady22,1 month & 17 days
datoms,https://www.nairaland.com/datoms,,"September 11, 2015",5:43pm On Apr 18,,,,1 day & 5 hours
kasonud,https://www.nairaland.com/kasonud,,"June 13, 2009",8:49am On Jul 17,Professional electrician ,m,@kasonud,18 days & 2 hours
Omosilade,https://www.nairaland.com/omosilade,,"August 30, 2007",12:30am On May 30,,,,14 hours & 9 minutes
phrezzz,https://www.nairaland.com/phrezzz,Africa,"May 16, 2013",1:47pm,,,,2 months & 2 days
Dumken,https://www.nairaland.com/dumken,,"February 07, 2012",6:07am On Oct 11,I'll always be good,m,,14 days & 16 hours
Topmaike007,https://www.nairaland.com/topmaike007,,"June 11, 2015",4:17pm,vamos madrid,m,,3 months & 13 days
gorgeousnogo,https://www.nairaland.com/gorgeousnogo,Nigeria,"October 06, 2011",10:15pm On Jul 17,Don't let a bad day make you feel like you have a bad life,f,Nogo6,7 days & 21 hours
halmat,https://www.nairaland.com/halmat,,"June 20, 2013",2:59pm,"desire for something, makes you want to complete all tasks to acquire it. My desire for success makes me want to go extra miles, to have it all(success).  ",m,,20 days & 16 hours
deondazy,https://www.nairaland.com/deondazy,PHC,"January 04, 2014",10:20am On Jul 07,"If I knew tomorrow and was able to change it, do I have free will still?",m,@deondazy,6 hours & 34 minutes
maria008,https://www.nairaland.com/maria008,,"May 30, 2015",6:50pm On Sep 23,,,,19 minutes & 38 seconds
bchi,https://www.nairaland.com/bchi,Lagos,"March 16, 2015",8:01pm On Aug 08,ESE OLUWA ,f,,20 days & 13 hours
Ugmayor,https://www.nairaland.com/ugmayor,,"February 11, 2013",4:50pm On Apr 12,,,,1 day & 9 hours
Vertch,https://www.nairaland.com/vertch,,"April 10, 2015",2:04pm On Nov 20,,,,9 hours & 36 minutes
onlyforchrist,https://www.nairaland.com/onlyforchrist,,"March 19, 2015",3:01pm On May 10,,,,1 month & 18 days
Jobs012,https://www.nairaland.com/jobs012,,"August 24, 2014",11:43am On Oct 03,"Hey,How are you?",m,https://twitter.com/AmarKotha16,5 hours & 21 minutes
jessetom,https://www.nairaland.com/jessetom,Warri ,"October 28, 2013",10:30am On Jul 04,,m,,18 days & 14 hours
Meklex,https://www.nairaland.com/meklex,where dreams come true. ,"September 14, 2009",2:55pm,I was born a sinner but I'll live better than that ,m,,6 months & 16 days
Supermiy,https://www.nairaland.com/supermiy,Earth,"February 14, 2015",9:36pm On Dec 07,practical logic!,,,9 days & 10 hours
Ignaz,https://www.nairaland.com/ignaz,,"September 02, 2015",3:53am On Aug 05,,m,,2 days & 12 hours
Dlee1,https://www.nairaland.com/dlee1,"Anambra State, Nigeria","May 21, 2011",12:08am On Jul 22,JEHOVAH BU EZE.,m,,18 days & 20 hours
fsho,https://www.nairaland.com/fsho,Parallel universe,"December 11, 2014",2:46pm,,m,,17 days & 12 hours
Hibrahym,https://www.nairaland.com/hibrahym,,"November 26, 2009",10:59pm On May 29,,,,1 day & 19 hours
checkmateman,https://www.nairaland.com/checkmateman,,"August 26, 2014",5:01pm On Jul 16,,,,6 days & 10 hours
Roks,https://www.nairaland.com/roks,,"October 19, 2015",5:18am On Nov 09,,m,,3 days & 16 hours
fortunes0215,https://www.nairaland.com/fortunes0215,,"October 06, 2014",5:19pm On May 18,,m,,1 month & 2 days
decide,https://www.nairaland.com/decide,,"July 01, 2014",3:57pm,,,,1 month & 17 days
macjireh,https://www.nairaland.com/macjireh,,"June 29, 2013",1:17pm,,,,3 months & 24 days
kevoh,https://www.nairaland.com/kevoh,Alternate Universe,"September 16, 2008",4:13pm,,m,,1 year & 6 months
liliian,https://www.nairaland.com/liliian,,"October 23, 2015",5:24pm On Nov 18,,f,,2 days & 13 hours
jaegermesiter,https://www.nairaland.com/jaegermesiter,,"September 19, 2015",2:32pm On Mar 08,,,,7 days & 19 hours
abenmariem,https://www.nairaland.com/abenmariem,,"June 16, 2015",10:29am On Aug 18,,,,1 hour & 57 minutes
omoladeazeez,https://www.nairaland.com/omoladeazeez,,"October 28, 2015",8:49am On Aug 21,,,,11 hours & 57 minutes
uchedotphp,https://www.nairaland.com/uchedotphp,,"November 04, 2015",1:18pm On Apr 24,,,,1 hour & 14 minutes
5voteks,https://www.nairaland.com/5voteks,,"November 06, 2015",9:22am On Dec 20,,,,53 minutes & 27 seconds
Software202,https://www.nairaland.com/software202,Lagos,"October 23, 2015",11:16am On Aug 12,God is the best programmer.,m,Software202,4 days & 5 hours
Redfox,https://www.nairaland.com/redfox,Ph-Lagos,"August 05, 2008",11:50am On Jul 05,Could there be any Band Better than Coldplay,m,,11 days & 12 hours
JoshRDWM,https://www.nairaland.com/joshrdwm,"Seattle, WA","November 12, 2015",3:41am On Nov 13,Is this neverland?,m,,58 minutes & 47 seconds
nic121,https://www.nairaland.com/nic121,nigeria,"February 08, 2007",7:25am On May 17,,,,5 days & 21 hours
redtomato8318,https://www.nairaland.com/redtomato8318,,"November 18, 2015",9:52am On Nov 18,,,,3 minutes & 26 seconds
Alexyswiss,https://www.nairaland.com/alexyswiss,Kaduna,"November 05, 2013",8:06pm On May 08,Real men dont break hearts....they break Records!!!!!,m,Alexanderikeh1,26 days & 21 hours
RoyalBlak007,https://www.nairaland.com/royalblak007,Nigeria,"June 30, 2014",12:01pm On Dec 25,Dreams,,,5 months & 22 days
kidamoses1,https://www.nairaland.com/kidamoses1,,"December 02, 2015",4:01pm On Dec 08,,,,40 minutes & 37 seconds
hamdarquine,https://www.nairaland.com/hamdarquine,,"April 10, 2013",4:29pm On Jan 06,,,,4 hours & 42 minutes
frankfela45,https://www.nairaland.com/frankfela45,,"December 04, 2015",1:13pm On Feb 20,,,,58 minutes & 53 seconds
deardevil,https://www.nairaland.com/deardevil,,"December 27, 2012",4:00pm,,m,,3 months & 15 days
zubysnook,https://www.nairaland.com/zubysnook,,"October 09, 2014",5:35pm On May 10,,,,12 hours & 44 minutes
ANTONINEUTRON,https://www.nairaland.com/antonineutron,Front Of U: Ur ISP can always show u my location. And it just did!!,"October 22, 2015",7:14pm On Jul 23,"There is a point in life where pride  dies; I will be what i want to be!!................Use Energy!!! But don't use Force: FORCE WILL Come  :::::::::{As you have visited my profile, I Wanna Add(+), Am a BARÇA FAN ;) }",m,@neutronUno,4 months & 2 days
dxpat4reel,https://www.nairaland.com/dxpat4reel,,"March 02, 2010",7:51pm On Oct 05,,,,11 hours & 19 minutes
ezeking,https://www.nairaland.com/ezeking,,"September 28, 2006",1:06pm On Dec 19,"A COWARD DIES A THOUSAND TIMES,A SOLDIER DIES ONES",m,,2 days & 18 hours
Cfaird,https://www.nairaland.com/cfaird,Abuja,"December 16, 2015",10:36pm On Aug 07,Create a Passive Income from the comfort of your Home,m,,1 hour & 41 minutes
samhapy,https://www.nairaland.com/samhapy,Lagos,"June 08, 2013",6:09pm On Jun 23,GOD is LOVE,m,@jejelowo,25 days
greatguru22,https://www.nairaland.com/greatguru22,,"April 18, 2015",9:42pm On Apr 29,God wil surely give up victory!!!,,,12 days & 8 hours
bayoFCS,https://www.nairaland.com/bayofcs,,"December 25, 2015",2:50pm On Dec 05,,,,1 hour & 28 minutes
SirChides,https://www.nairaland.com/sirchides,,"September 04, 2013",4:41am On Jan 17,a creative man is motivated by d desire to succeed and not d desire to beat others,m,,1 day & 11 hours
PModes,https://www.nairaland.com/pmodes,abuja,"September 23, 2015",8:19pm On Aug 15,,m,@moscomoni,1 day & 11 hours
AyeshS,https://www.nairaland.com/ayeshs,,"December 25, 2015",7:39pm On Dec 30,,,,1 hour & 5 minutes
Mathemagician1,https://www.nairaland.com/mathemagician1,Lagos,"November 16, 2015",12:12pm On Sep 13,,m,,3 months & 5 days
mrcobuh,https://www.nairaland.com/mrcobuh,,"December 31, 2015",3:33pm On Jul 28,,,,10 hours
seunny4lif,https://www.nairaland.com/seunny4lif,Behind you ,"December 04, 2008",3:50pm,I love my mother....,m,,8 months & 4 days
Bollinger,https://www.nairaland.com/bollinger,Okokomaiko,"August 22, 2012",8:54pm On Dec 29,I wake up next to this Goddess every phucking day. I am one lucky mofo.,m,,2 months & 5 days
darkhorizon,https://www.nairaland.com/darkhorizon,,"July 21, 2015",6:56am On Jul 22,,,,2 months & 28 days
Ymodulus,https://www.nairaland.com/ymodulus,,"November 12, 2010",11:26pm On Oct 07,,,,4 months & 12 days
Mich43l,https://www.nairaland.com/mich43l,,"January 12, 2016",11:07am On Jun 09,"Certified Affordable Online Training for all, Im also a blogger",m,,1 day & 4 hours
Doyin2016,https://www.nairaland.com/doyin2016,,"January 14, 2016",7:51pm On Jun 08,,,,2 hours & 1 minute
sanmy,https://www.nairaland.com/sanmy,,"January 29, 2008",10:13am On Apr 06,,m,,7 days & 23 hours
isidollarboy,https://www.nairaland.com/isidollarboy,,"June 09, 2012",5:59am On Jul 24,iam a simple guy that loves making friends and play games,m,@isidollarboy,1 month & 21 days
conyema12,https://www.nairaland.com/conyema12,,"February 27, 2012",9:09am,,m,,2 months & 1 day
mobaladf,https://www.nairaland.com/mobaladf,,"January 01, 2016",12:35pm On Jan 21,,,,19 hours & 9 minutes
sinequanon,https://www.nairaland.com/sinequanon,,"April 27, 2007",11:33pm On Jul 06,,,,1 month & 6 days
Ruletown,https://www.nairaland.com/ruletown,,"January 23, 2016",12:33am On Jan 18,One wit God is a majority,m,,16 hours & 12 minutes
avidmaverick,https://www.nairaland.com/avidmaverick,Lagos,"February 21, 2013",10:49pm On Aug 27,,m,@mrgbajumo,1 hour & 59 minutes
Ayets,https://www.nairaland.com/ayets,Lagos,"August 20, 2012",12:12pm On Jul 10,"Android(Java/Kotlin),Spring developer",m,,9 days & 2 hours
exxy,https://www.nairaland.com/exxy,"Bronx,NYC","June 28, 2014",6:15am On Jul 01,I can do all things through Christ who strengthens me ,m,@emmaddoctor,10 days & 19 hours
frankdupree,https://www.nairaland.com/frankdupree,,"July 02, 2014",9:15am On Dec 05,,,,1 day & 3 hours
mikrizz,https://www.nairaland.com/mikrizz,,"March 11, 2015",11:32am On Mar 21,,,,1 day & 18 hours
binarykid,https://www.nairaland.com/binarykid,,"August 15, 2015",10:56pm On Jan 23,,m,,13 days & 18 hours
WafiJoe,https://www.nairaland.com/wafijoe,Nigeria,"July 15, 2007",6:16pm On Mar 01,Don't let any company use you,m,,20 days & 14 hours
severus,https://www.nairaland.com/severus,,"November 27, 2013",10:00pm On Feb 18,Get Severus for all your web services,m,,1 day & 8 hours
shootingstar,https://www.nairaland.com/shootingstar,,"January 23, 2013",12:12am On Feb 05,,,,8 hours & 34 minutes
jayriginal,https://www.nairaland.com/jayriginal,,"October 11, 2010",8:42pm On Jan 17,"And the Lord did say, 'Take my shoes and do with them what you will. Walk in them. Sell them to friends of money. But do not use them for dancing. My shoes dance only with The Maker.' -Haknar Jenabzedeh 14:31 ",,,3 months & 8 days
Orinameh,https://www.nairaland.com/orinameh,,"July 09, 2014",5:05pm On Jan 09,,,,8 hours & 58 minutes
horrpeyemi,https://www.nairaland.com/horrpeyemi,,"June 30, 2014",3:43am On Oct 18,,,,15 days & 9 hours
cridols,https://www.nairaland.com/cridols,,"August 09, 2010",11:19am On Mar 30,,,,8 hours & 2 minutes
Realrex,https://www.nairaland.com/realrex,Port Harcourt ,"September 05, 2011",12:39pm On Jul 24,,m,@rextroverted,7 days & 14 hours
rahman3853,https://www.nairaland.com/rahman3853,"3rd Avenue, Gwarinpa, Abuja","September 30, 2007",1:25pm On Mar 15,,m,@9jagreenlantern,12 days & 3 hours
younghero2,https://www.nairaland.com/younghero2,,"December 18, 2015",4:02am On Jun 06,,,,12 hours & 1 minute
danidee10,https://www.nairaland.com/danidee10,why you dey find me?,"February 15, 2015",9:20am On Jan 20,Every new beginning comes from some other beginning's end,m,,25 days & 2 hours
webdevgod,https://www.nairaland.com/webdevgod,LONDON,"February 25, 2016",12:03am On Aug 15,Junior Front End Developer,,,8 hours & 36 minutes
Richnero,https://www.nairaland.com/richnero,"Lagos, Nigeria","October 19, 2015",3:07pm," when I say it's a long story, it usually means I don't want to tell you. ",m,@richyanthony10,2 months & 14 days
ashquin90,https://www.nairaland.com/ashquin90,,"March 06, 2016",6:28pm On Mar 06,,,,1 hour & 2 minutes
femarse,https://www.nairaland.com/femarse,,"March 02, 2013",1:54pm,Dilligent hand make riches ,,@fem9992003,3 months & 18 days
tuzle,https://www.nairaland.com/tuzle,lagos,"July 23, 2015",3:55pm,life is too precious to be wasted. You die bt life continues,m,,1 month & 24 days
AnthonyAk,https://www.nairaland.com/anthonyak,,"December 01, 2008",2:29pm,ask me anything crypto on here or twitter,m,PurpleKingTony,26 days & 16 hours
eworm,https://www.nairaland.com/eworm,,"October 23, 2015",9:05am On Jun 29,"N1,000($6.25)/yr ONLY Webhosting Is Available. Never Conderm Others, Watch Your Back",,https://twitter.com/boldrightltd,20 hours & 21 minutes
imocheezy,https://www.nairaland.com/imocheezy,,"August 30, 2014",9:23am On Jul 03,,m,@imocheezy,15 days & 20 hours
Danobal,https://www.nairaland.com/danobal,,"March 13, 2016",5:08pm On Aug 11,,,,10 days & 7 hours
lyandre,https://www.nairaland.com/lyandre,,"January 26, 2015",9:43pm On Apr 15,,,,3 hours & 58 minutes
techthought,https://www.nairaland.com/techthought,,"March 16, 2016",12:06pm On Nov 08,I speak for my people,,,9 hours & 24 minutes
seanblaise,https://www.nairaland.com/seanblaise,Everywhere at anytime,"September 20, 2013",6:51pm On Sep 29,life is short.....chat fast,m,@itz_Armanijojo,2 months & 22 days
pcwizzy,https://www.nairaland.com/pcwizzy,,"September 18, 2014",9:58am,,,,26 days & 12 hours
komo1,https://www.nairaland.com/komo1,,"July 18, 2015",5:56pm On Jul 16,,,,2 hours & 58 minutes
engineerjimmy,https://www.nairaland.com/engineerjimmy,,"March 06, 2012",1:37am On Nov 28,,,,13 days
easy2conet,https://www.nairaland.com/easy2conet,LAGOS STATE,"March 17, 2009",7:19am On Feb 10,GOD IS GREAT,f,,2 days & 10 hours
JackAlen,https://www.nairaland.com/jackalen,New York,"April 07, 2016",7:08am On Apr 07,What is Car OBD2?,,,4 minutes & 16 seconds
ekumahost,https://www.nairaland.com/ekumahost,,"October 28, 2009",2:26pm On Aug 19,,,,1 day & 14 hours
iyb,https://www.nairaland.com/iyb,Nottingham United Kingdom,"January 08, 2011",8:58am,Fire and Blood,m,,2 months & 28 days
melodyafsana,https://www.nairaland.com/melodyafsana,,"April 10, 2016",4:06pm On Jul 27,,f,,4 hours & 30 minutes
Siryuswab,https://www.nairaland.com/siryuswab,"Shaki, oyo state ","December 17, 2014",10:27am On Oct 20,Gentle without being stupid and highly principled guy,m,Siryuswab,5 days & 3 hours
Dhayour609,https://www.nairaland.com/dhayour609,port Harcourt,"July 27, 2015",12:05am On Jun 11,,,,8 days
Prosper080,https://www.nairaland.com/prosper080,,"April 20, 2016",11:02am On Apr 20,,,,30 minutes & 10 seconds
Jephery,https://www.nairaland.com/jephery,Nigeria,"May 17, 2009",2:23pm On Aug 26,,m,@ONAgite,2 days & 23 hours
McTobe,https://www.nairaland.com/mctobe,,"July 31, 2015",10:28am,"IS THE SACRED DUTY of the human spirit to investigate why it is living on earth, or in general in ... No man considers himself so insignificant as to imagine that his existence is without purpose, ... ABD RU SHIN",m,,1 month & 23 days
dharmhie,https://www.nairaland.com/dharmhie,"shasha, akowonjo, lagos Nigeria.","December 31, 2010",8:58am,,m,,11 hours & 43 minutes
calculator123,https://www.nairaland.com/calculator123,Bariga,"November 06, 2014",10:40am On Jul 24,Proudly Irreligious,m,,2 months & 29 days
Janyves,https://www.nairaland.com/janyves,,"November 23, 2013",10:05pm On Jul 24,ONWARD SOLDIER OF CHRIST!!!,m,,1 month & 5 days
africanman85,https://www.nairaland.com/africanman85,,"December 04, 2014",8:57pm On Jul 18,China Travel and Tour,,,4 months & 9 days
xalamblixx,https://www.nairaland.com/xalamblixx,,"May 14, 2016",2:49pm On Jan 27,,m,,1 hour & 8 minutes
codephantom,https://www.nairaland.com/codephantom,ibadan,"September 25, 2015",9:19am On Apr 08,,m,oyeleye731,53 minutes & 35 seconds
macaranta,https://www.nairaland.com/macaranta,Nigeria,"September 30, 2015",3:40pm,"Learn, Teach and earn online >>macaranta.com|| 08151097447",m,@NgMacaranta,4 months & 2 days
whitesunshine,https://www.nairaland.com/whitesunshine,,"May 19, 2016",11:39pm On Nov 11,,,,31 minutes & 48 seconds
privatetisa,https://www.nairaland.com/privatetisa,"Lagos, Nigeria","June 16, 2013",11:00pm On Aug 09,"""If I see farther than others, it's because I stand on the shoulders of gaints"" - the great Isaac Newton ",m,,7 days & 3 hours
NLjona,https://www.nairaland.com/nljona,PH,"July 04, 2015",6:04pm On Aug 04,first of all my name is not jona.. ladies in ph lets hook up.. (08182349965- text only abeg if u call i won't pick),m,,15 days & 18 hours
nauman673,https://www.nairaland.com/nauman673,,"May 23, 2016",3:12pm On Jun 03,,,,3 hours & 42 minutes
sayyid,https://www.nairaland.com/sayyid,Ilorin ,"October 24, 2012",12:51pm,MAINTAIN TO SUSTAIN,m,,3 months & 11 days
Ebenezer9,https://www.nairaland.com/ebenezer9,,"August 06, 2012",1:56pm On Aug 30,,m,,1 day & 20 hours
charger025,https://www.nairaland.com/charger025,,"May 27, 2016",7:49pm On May 27,,,,26 minutes & 40 seconds
pythonrules,https://www.nairaland.com/pythonrules,,"May 31, 2016",6:54pm On May 31,love to code,m,,15 minutes & 26 seconds
Euroadams,https://www.nairaland.com/euroadams,,"January 09, 2012",10:57am On May 31,,,,4 days & 18 hours
creamyworkz,https://www.nairaland.com/creamyworkz,,"September 18, 2015",8:38pm On Aug 06,,,,7 days & 11 hours
Dreadlord,https://www.nairaland.com/dreadlord,,"August 28, 2015",5:29pm On Jun 05,,,,11 days & 9 hours
PharmAlfred,https://www.nairaland.com/pharmalfred,,"June 05, 2015",4:20pm,,,,2 months & 6 days
classicpsalmzy,https://www.nairaland.com/classicpsalmzy,,"June 10, 2016",2:59pm On Jun 14,,,,1 day & 10 hours
Collinz2,https://www.nairaland.com/collinz2,Wuhan,"July 16, 2014",4:20pm,美好的未来。保持希望活着。,m,,2 months & 12 days
D34lw4p,https://www.nairaland.com/d34lw4p,India,"July 27, 2015",4:11pm,http://nct.com.ng/Thread-What-Is-Google-Adsense,m,dealwap ,1 month & 3 days
stack1,https://www.nairaland.com/stack1,,"June 17, 2016",1:48am On Jun 17,,m,,4 days & 9 hours
PaulErungworo,https://www.nairaland.com/paulerungworo,,"December 06, 2014",11:25pm On Mar 02,,,,8 days & 12 hours
Mrluv,https://www.nairaland.com/mrluv,,"September 22, 2013",1:16pm On Jul 22,,m,,4 months & 21 days
sammymoney,https://www.nairaland.com/sammymoney,,"May 29, 2011",7:17pm On Feb 06,i am sam adetogun a.k.a codesam,m,,2 hours & 2 minutes
francollimasso,https://www.nairaland.com/francollimasso,,"December 04, 2014",11:12am On Mar 27,".net developer, web designer, web developer",,@amjide,1 month & 16 days
noordean,https://www.nairaland.com/noordean,Lagos,"June 27, 2014",6:59am On Jun 03,silence of a  river doesnt mean crocodile is absent                                    ,m,,2 months & 15 days
Thecarisma,https://www.nairaland.com/thecarisma,Lagos,"June 23, 2016",8:13pm On Aug 08,,m,iamthecarisma,7 hours & 26 minutes
adejumoadeoluwa,https://www.nairaland.com/adejumoadeoluwa,Nairaland,"December 22, 2013",3:40pm On Feb 09,,m,,3 days & 5 hours
Alexander1370,https://www.nairaland.com/alexander1370,Calabar,"June 25, 2016",8:56am On Sep 10,,m,,4 days & 5 hours
khattab008,https://www.nairaland.com/khattab008,,"August 04, 2010",2:55pm,Res Ipsa Loquitur,,,4 months & 14 days
efeblin,https://www.nairaland.com/efeblin,,"August 23, 2013",5:59pm On Jun 24,,m,,1 day & 5 hours
badthinds,https://www.nairaland.com/badthinds,Naija,"December 11, 2015",9:04pm On Jul 14,,,,5 days & 5 hours
Anmich,https://www.nairaland.com/anmich,,"May 31, 2015",4:30am On Oct 05,,,,6 days & 20 hours
talk214,https://www.nairaland.com/talk214,,"July 06, 2016",4:50am On Apr 21,,,,15 hours & 10 minutes
onedayatime,https://www.nairaland.com/onedayatime,ijebu,"January 08, 2013",10:35am,love me jeje,m,once upon a time in Twitter,1 month & 1 day
